author,text
farrodread,"RT @NewEarthquake: 5.1 earthquake, 118km S of Akureyri, Iceland. Nov 16 01:37 at epicenter (20m ago, depth 5.8km). http://t.co/bvOFitW6Pe"
derivalkevin,"RT @NewEarthquake: 5.1 earthquake, 118km S of Akureyri, Iceland. Nov 16 01:37 at epicenter (20m ago, depth 5.8km). http://t.co/bvOFitW6Pe"
emergencyglobal,"Earthquake - 5.1 - 118km S of Akureyri, Iceland EARTHQUAKE (ADVISORY) http://t.co/eGSDZ4sKkq"
derivalkevin,"5.1 earthquake, 118km S of Akureyri, Iceland. Nov 16 01:37 at epicenter (20m ago, depth 5.8km). http://t.co/ToJtMwL9eg"""
dpoulinjr13,"RT @NewEarthquake: 5.1 earthquake, 118km S of Akureyri, Iceland. Nov 16 01:37 at epicenter (20m ago, depth 5.8km). http://t.co/bvOFitW6Pe"
EQTracker,"5.1 earthquake, 118km S of Akureyri, Iceland. Nov 16 01:37 at epicenter (20m ago, depth 5.8km). http://t.co/nFjESRXdKZ | Details: ..."
emergencyglobal,"#Sismo +4.5 M 5.1 - 118km S of Akureyri, Iceland  DYFI? - I  Time  2014-11-16 01:37:16 UTC  2014-11-16 01:37:16 ... http://t.co/7u3L38Tu07"
discapacidad507,RT @DiaaDiaPa: Suspenden la alerta de tsunami. http://t.co/W7Ire5U7Mh http://t.co/5vj4xxAnCB
BerryPayne,There's a Hurricane happening in Florida!
Saajeda_B,"RT @NWSAnchorage: Major eruption of #Pavlof Volcano ongoing. Main impact to aviation, however dusting of ash may fall near volcano. http://…"
TeredelCastillo,"RT @NWSAnchorage: Major eruption of #Pavlof Volcano ongoing. Main impact to aviation, however dusting of ash may fall near volcano. http://…"
runningrampant,"RT @AZGeology: RT @NWSAnchorage: Major eruption of #Pavlof Volcano ongoing. Main impact aviation, dusting of ash may fall near vent. http:/…"
heinlman,"RT @AZGeology: RT @NWSAnchorage: Major eruption of #Pavlof Volcano ongoing. Main impact aviation, dusting of ash may fall near vent. http:/…"
robertloerzel,"RT @NWSAnchorage: Major eruption of #Pavlof Volcano ongoing. Main impact to aviation, however dusting of ash may fall near volcano. http://…"
PeachesPDX,Drinking a Hop Eruption by @MazamaBrewing - http://t.co/a5GRYKW2pu #photo
Celeste5000,Damn...RT @OMGFacts: Lightning storm in the middle of a volcano eruption http://t.co/jRP7SPt79c
TheLANewz,Alaska volcanic eruption intensifies; lava advances in Hawaii #LosAngeles http://t.co/O0hhWqi9Pm
eruptionsblog,"RT @NWSAnchorage: Major eruption of #Pavlof Volcano ongoing. Main impact to aviation, however dusting of ash may fall near volcano. http://…"
GetItAl,Alaska volcanic eruption intensifies; lava advances in Hawaii: A volcano in the Alaska Peninsula launched an a... http://t.co/x7RqneK37M
AnonMLee,RT @OMGFacts: Lightning storm in the middle of a volcano eruption http://t.co/Az0i3x1ES8
JennGrover,"RT @NWSAnchorage: Major eruption of #Pavlof Volcano ongoing. Main impact to aviation, however dusting of ash may fall near volcano. http://…"
SenHollisFrench,"RT @NWSAnchorage: Major eruption of #Pavlof Volcano ongoing. Main impact to aviation, however dusting of ash may fall near volcano. http://…"
LAPDHQ,"#LAPD Alert UPDATE: Police activity on 9th/ Centre - Standoff is over, suspect is in custody. TY for your patience.  @LapdHarborDiv"
LAPDHQ,#LAPD Alert: Police activity update in the area of 9th/ Centre - Barricaded suspect is still on going. Please avoid the area. @LapdHarborDiv
ChapelHillPD,Police activity on East Franklin near the Morehead Planetarium is due to a larceny suspect who ran from officers and was caught there.
ChapelHillPD,Officers responding to a crash involving 3 or 4  vehicles on Fordham Blvd. near Sage Rd. Use caution in the area. #CHTraffic
ChapelHillPD,"Busted by technology...good policework and ""Find my iPhone"" leads to two arrests.  http://t.co/8wS4Tz5fRa"
ChapelHillPD,We're keeping an eye on the crosswalks on West Franklin Street this afternoon. #PayAttention #WatchForMeNC http://t.co/FkgyvdrouH
ChapelHillPD,"Pedestrian struck in crosswalk, driver charged.  http://t.co/k3ox5g9WZK"
ChapelHillPD,RT @UNCDPS: Be alert to recent phone scams targeting college students.  For more info:   http://t.co/bzhQnFzgZH
hammett96,@DrBrianMay can we be sure of no action from the wee man?  I suspect at least activity from mid to end January for a brief time
EPAdamPipe,Suspect suspicious activity overnight parked HGV call @EssexPoliceUK 999 #A12 #A13 #Thurrock #RoadCrime http://t.co/IEy9AK59Zh
ABC7,"PICO RIVERA UPDATE: Armed suspect now in custody; SWAT activity over, area deemed safe by LA sheriff's officials"
ABC7JulieSone,Pico Rivera update MT @SEBLASD: #LASD SEB SWAT activity concluded Armed gang suspect in custody. Area safe. @LASDHQ http://t.co/HN6RyS5XHd
knxrory,"Police activity now in #SouthLA. Officers searching for a robbery suspect armed with a gun, in the area of Flower and 70th streets. @knx1070"
LAPDHQ,"#LAPD Alert UPDATE: Police activity on 9th/ Centre - Standoff is over, suspect is in custody. TY for your patience.  @LapdHarborDiv"
GARlosengen,@Support You might want to look at the #OPNoMercy tag. The activity there looks oddly suspect to mass abuse the #WAM abuse reporter tool.
ACTPolicing,"If you suspect illegal OMCG activity take note of the time, location, car details, persons features. Report to #CrimeStoppers 1800333000"
LAPDHQ,#LAPD Alert: Police activity update in the area of 9th/ Centre - Barricaded suspect is still on going. Please avoid the area. @LapdHarborDiv
KEYTNC3,#SantaMaria school goes on #lockdown following police activity. One suspect on loose. http://t.co/KUKXpJ3hM8 http://t.co/KI28BnFkc9
BCObreakingnews,Parkville *Police Activity* Parkville High School. Putty Hill Ave. Student fight with 1 injured. Suspect fled on... http://t.co/tRSlAUmaAT
LAPDHQ,#LAPD Alert: Police activity in the area of 9th/ Centre. Barricaded suspect - #SWAT responding.  Please avoid the area. @LapdHarborDiv
ChapelHillPD,Police activity on East Franklin near the Morehead Planetarium is due to a larceny suspect who ran from officers and was caught there.
LiveCrimeAlerts,@SGLynwoodPatch Police Activity at El Paseo.  Possible carjacking suspect is barricaded .  Multiple agencies are assisting #SouthGate
EvileDukasheI,"In Banking, staff who fails to identify or report criminal or suspect activity is also subjected to some form of sanction. #Compliance"
MaxwellUrbanhit,Until substantial evidence is provided that person remains a suspect of criminal activity &amp; a not criminal.
RosevilleScan,Monitoring Citrus Heights PD activity near Grand Oaks Blvd and Oak Forest St; perimeter going up for an outstanding suspect in the area.
discourse,@uppfinnarn @samsaffron hmm. I'd suspect the shared bit. We have lots of sites running on 1GB fine with even more activity than that.
tellitso,@NC_Robinson @australian That this conversation can escape penalty based on interpretation? Anyone connected to sordid activity is suspect.
pickensprogress,Heavy law enforcement activity at Hwys. 515/108. Traffic stop turned into foot pusuit. One suspect still sought.
EPAdamPipe,Suspect suspicious activity near parked overnight HGV call @EssexPoliceUK 999 #A12 #A13 #Thurrock @EssexCInspector http://t.co/J5C7jlinGX
EPAdamPipe,Suspect suspicious activity overnight parked HGV call @EssexPoliceUK 999 #A12 #A13 #Thurrock #RoadCrime http://t.co/IEy9AK59Zh
knxrory,"Police activity now in #SouthLA. Officers searching for a robbery suspect armed with a gun, in the area of Flower and 70th streets. @knx1070"
LAPDHQ,#LAPD Alert: Police activity update in the area of 9th/ Centre - Barricaded suspect is still on going. Please avoid the area. @LapdHarborDiv
KEYTNC3,#SantaMaria school goes on #lockdown following police activity. One suspect on loose. http://t.co/KUKXpJ3hM8 http://t.co/KI28BnFkc9
BCObreakingnews,Parkville *Police Activity* Parkville High School. Putty Hill Ave. Student fight with 1 injured. Suspect fled on... http://t.co/tRSlAUmaAT
LAPDHQ,#LAPD Alert: Police activity in the area of 9th/ Centre. Barricaded suspect - #SWAT responding.  Please avoid the area. @LapdHarborDiv
ChapelHillPD,Police activity on East Franklin near the Morehead Planetarium is due to a larceny suspect who ran from officers and was caught there.
LiveCrimeAlerts,@SGLynwoodPatch Police Activity at El Paseo.  Possible carjacking suspect is barricaded .  Multiple agencies are assisting #SouthGate
AASkylineBMIT,@AASkylineBMIT any ideas on who's behind this suspect activity?
NTXINN,"DPS Activity | TXDPS Air | Ground units have 4 in custody but main suspect remains missing. Chopper using FLiR, Still UKWN type of call."
MariJorjadze,"October 24, 1985 - Suspect Richard Ramirez, accused of being the Los Angeles area serial  killer called the http://t.co/nG2VrSA62X"
RosevilleScan,Monitoring Citrus Heights PD activity near Grand Oaks Blvd and Oak Forest St; perimeter going up for an outstanding suspect in the area.
pickensprogress,Heavy law enforcement activity at Hwys. 515/108. Traffic stop turned into foot pusuit. One suspect still sought.
EPAdamPipe,Suspect suspicious activity near parked overnight HGV call @EssexPoliceUK 999 #A12 #A13 #Thurrock @EssexCInspector http://t.co/J5C7jlinGX
GatesOfFire1125,House fire on Eastern Ave
KrooklynzFinest,I'm done who is driving to Crosbys house with me tonight to light it on fire
suburban40,Montgomery County Ohio. Family of 4 escapes Harrison Twp house fire. #fire #Firefighters http://t.co/vYTT00oJyZ
OhNoItsJermaine,@waterblossm the house 3 houses down is on fire http://t.co/KtR7zzzXO2
Easter_Island_,TIFU by getting high and making my house catch on fire via /r/tifu http://t.co/c3fQ9rDfxe http://t.co/5T4XAgasIT
Venomous_Vette,Also pray for me and my mom there is a fire in our house and my mom was cooking
MCmuckraker,Detroit firefighters are attacking a vacant house fire at the 19000 block Archdale on the west side.
Joshua_yeeyee,@blueskyyye this fire is huge! I'm surprised you can't feel the heat from your house!
Nzgrim,Fire engulfs Wellington house http://t.co/jgpuzwbpSE
PlantationFire,Plantation house fire 201 SW 52 Ave Flames through roof on arrival 5 family members displaced Put up by Red Cross Cause under investigation
alex_burness,"Boulder crews still responding to a house fire on University Hill. One resident unaccounted for, but presumed safe. http://t.co/OQSwkgt9I7"
aradia1952,Two home during armed robbery in Manchester http://t.co/3RJ1It3gZd
Spokane_News,"Armed robbery reported, Albertsons, 32nd and Highway 27."
THEMAJESTIRIUM1,SPECIAL NYPD UNMARKED DETECTIVES UNIT RESPONDING TO A ARMED ROBBERY AT A JEWELRY STORE IN THE DIAMOND... http://t.co/QV6J0lXsTH
DallasTX_News,Dallas officer breaks hand capturing armed robbery suspect after chase..  #dallas #news
DallasTX_News,Dallas officer breaks hand capturing armed robbery suspect after chase..  #dallas #news
DallasTX_News,Dallas officer breaks hand capturing armed robbery suspect after chase..  #dallas #news
PoliceClips,Hopkins - Armed robbery of person at gunpoint at Westside Village. I guess the dirty bastard stole the female's... http://t.co/mxVWoqJM3h
